step,DQN (exp_frac=0.5) - _step,DQN (exp_frac=0.5) - _step__MIN,DQN (exp_frac=0.5) - _step__MAX,DQN (exp_frac=0.5) - reward,DQN (exp_frac=0.5) - reward__MIN,DQN (exp_frac=0.5) - reward__MAX,DQN (exp_frac=0.1) - _step,DQN (exp_frac=0.1) - _step__MIN,DQN (exp_frac=0.1) - _step__MAX,DQN (exp_frac=0.1) - reward,DQN (exp_frac=0.1) - reward__MIN,DQN (exp_frac=0.1) - reward__MAX,HAP (ours) - _step,HAP (ours) - _step__MIN,HAP (ours) - _step__MAX,HAP (ours) - reward,HAP (ours) - reward__MIN,HAP (ours) - reward__MAX,SAC - _step,SAC - _step__MIN,SAC - _step__MAX,SAC - reward,SAC - reward__MIN,SAC - reward__MAX,A2C - _step,A2C - _step__MIN,A2C - _step__MAX,A2C - reward,A2C - reward__MIN,A2C - reward__MAX,TD3 - _step,TD3 - _step__MIN,TD3 - _step__MAX,TD3 - reward,TD3 - reward__MIN,TD3 - reward__MAX
35375,,,,,,,,,,,,,,,,,,,782,782,782,0.485,0.485,0.485,,,,,,,,,,,,
35378,71,71,71,0.10365057379816796,0.10365057379816796,0.10365057379816796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3783,3783,3783,0.499,0.499,0.499
35405,,,,,,,,,,,,,,,,,,,783,783,783,0.485,0.485,0.485,,,,,,,,,,,,
35419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,3786,3786,0.459,0.459,0.459
35435,,,,,,,,,,,,,,,,,,,784,784,784,0.4895,0.4895,0.4895,,,,,,,,,,,,
35464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3794,3794,3794,0.449,0.449,0.449
35469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3795,3795,3795,0.442,0.442,0.442
35514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3803,3803,3803,0.416,0.416,0.416
35525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3805,3805,3805,0.409,0.409,0.409
35537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3807,3807,3807,0.391,0.391,0.391
35560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811,3811,3811,0.403,0.403,0.403
35565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3812,3812,3812,0.415,0.415,0.415
35588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3816,3816,3816,0.387,0.387,0.387
35599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3818,3818,3818,0.415,0.415,0.415
35610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820,3820,3820,0.44,0.44,0.44
35617,,,,,,,,,,,,,91,91,91,0.8125624085239579,0.8125624085239579,0.8125624085239579,,,,,,,,,,,,,,,,,,
35648,,,,,,,,,,,,,,,,,,,785,785,785,0.495,0.495,0.495,,,,,,,,,,,,
35649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3827,3827,3827,0.426,0.426,0.426
35669,,,,,,,78,78,78,0.095075382,0.095075382,0.095075382,,,,,,,,,,,,,,,,,,,,,,,,
35678,,,,,,,,,,,,,,,,,,,786,786,786,0.495,0.495,0.495,,,,,,,,,,,,
35708,,,,,,,,,,,,,,,,,,,787,787,787,0.5045,0.5045,0.5045,,,,,,,,,,,,
35739,,,,,,,,,,,,,,,,,,,788,788,788,0.515,0.515,0.515,,,,,,,,,,,,
35752,72,72,72,0.10125774912763584,0.10125774912763584,0.10125774912763584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35769,,,,,,,,,,,,,,,,,,,789,789,789,0.5225,0.5225,0.5225,,,,,,,,,,,,
35799,,,,,,,,,,,,,,,,,,,790,790,790,0.512,0.512,0.512,,,,,,,,,,,,
35830,,,,,,,,,,,,,,,,,,,791,791,791,0.512,0.512,0.512,,,,,,,,,,,,
35860,,,,,,,,,,,,,,,,,,,792,792,792,0.5175,0.5175,0.5175,,,,,,,,,,,,
35865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3831,3831,3831,0.455,0.455,0.455
35876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3833,3833,3833,0.464,0.464,0.464
35887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3835,3835,3835,0.445,0.445,0.445
35890,,,,,,,,,,,,,,,,,,,793,793,793,0.525,0.525,0.525,,,,,,,,,,,,
35893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3836,3836,3836,0.445,0.445,0.445
35898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3837,3837,3837,0.435,0.435,0.435
35909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3839,3839,3839,0.463,0.463,0.463
35915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840,3840,3840,0.464,0.464,0.464
35921,,,,,,,,,,,,,,,,,,,794,794,794,0.5295,0.5295,0.5295,,,,,,,3841,3841,3841,0.463,0.463,0.463
35938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844,3844,3844,0.415,0.415,0.415
35951,,,,,,,,,,,,,,,,,,,795,795,795,0.533,0.533,0.533,,,,,,,,,,,,
35972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3850,3850,0.404,0.404,0.404
35981,,,,,,,,,,,,,,,,,,,796,796,796,0.524,0.524,0.524,,,,,,,,,,,,
35983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3852,3852,3852,0.378,0.378,0.378
36009,,,,,,,,,,,,,92,92,92,0.7963224903219727,0.7963224903219727,0.7963224903219727,,,,,,,,,,,,,,,,,,
36028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3860,3860,3860,0.357,0.357,0.357
36049,,,,,,,79,79,79,0.090341778,0.090341778,0.090341778,,,,,,,,,,,,,,,,,,,,,,,,
36067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3867,3867,3867,0.346,0.346,0.346
36072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3868,3868,3868,0.355,0.355,0.355
36078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869,3869,3869,0.347,0.347,0.347
36096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3872,3872,3872,0.342,0.342,0.342
36126,73,73,73,0.103044727,0.103044727,0.103044727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880,3880,3880,0.376,0.376,0.376
36146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3881,3881,3881,0.366,0.366,0.366
36217,,,,,,,,,,,,,,,,,,,797,797,797,0.5135,0.5135,0.5135,,,,,,,,,,,,
36247,,,,,,,,,,,,,,,,,,,798,798,798,0.5125,0.5125,0.5125,,,,,,,,,,,,
36277,,,,,,,,,,,,,,,,,,,799,799,799,0.522,0.522,0.522,,,,,,,,,,,,
36308,,,,,,,,,,,,,,,,,,,800,800,800,0.5125,0.5125,0.5125,,,,,,,,,,,,
36338,,,,,,,,,,,,,,,,,,,801,801,801,0.5155,0.5155,0.5155,,,,,,,,,,,,
36362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3885,3885,3885,0.39,0.39,0.39
36368,,,,,,,,,,,,,,,,,,,802,802,802,0.5055,0.5055,0.5055,,,,,,,,,,,,
36396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891,3891,3891,0.375,0.375,0.375
36399,,,,,,,,,,,,,,,,,,,803,803,803,0.495,0.495,0.495,,,,,,,,,,,,
36400,,,,,,,,,,,,,93,93,93,0.8135918494211694,0.8135918494211694,0.8135918494211694,,,,,,,,,,,,,,,,,,
36418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3895,3895,3895,0.373,0.373,0.373
36428,,,,,,,80,80,80,0.10403102706485659,0.10403102706485659,0.10403102706485659,,,,,,,,,,,,,,,,,,,,,,,,
36429,,,,,,,,,,,,,,,,,,,804,804,804,0.494,0.494,0.494,,,,,,,3897,3897,3897,0.361,0.361,0.361
36435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3898,3898,3898,0.362,0.362,0.362
36441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899,3899,3899,0.342,0.342,0.342
36452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3901,3901,3901,0.331,0.331,0.331
36459,,,,,,,,,,,,,,,,,,,805,805,805,0.5105,0.5105,0.5105,,,,,,,,,,,,
36463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3903,3903,3903,0.34,0.34,0.34
36490,,,,,,,,,,,,,,,,,,,806,806,806,0.512,0.512,0.512,,,,,,,,,,,,
36500,74,74,74,0.087227288,0.087227288,0.087227288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910,3910,3910,0.334,0.334,0.334
36513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3912,3912,3912,0.343,0.343,0.343
36519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913,3913,3913,0.342,0.342,0.342
36520,,,,,,,,,,,,,,,,,,,807,807,807,0.5015,0.5015,0.5015,,,,,,,,,,,,
36524,,,,,,,,,,,,,,,,,,,,,,,,,45,45,45,0.335,0.335,0.335,,,,,,
36525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3914,3914,3914,0.341,0.341,0.341
36541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3917,3917,3917,0.34,0.34,0.34
36549,,,,,,,,,,,,,,,,,,,,,,,,,46,46,46,0.273,0.273,0.273,,,,,,
36550,,,,,,,,,,,,,,,,,,,808,808,808,0.517,0.517,0.517,,,,,,,,,,,,
36564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3921,3921,3921,0.342,0.342,0.342
36580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3924,3924,3924,0.389,0.389,0.389
36581,,,,,,,,,,,,,,,,,,,809,809,809,0.5135,0.5135,0.5135,,,,,,,,,,,,
36586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,3925,3925,0.389,0.389,0.389
36621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3931,3931,3931,0.415,0.415,0.415
36632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3933,3933,3933,0.425,0.425,0.425
36637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3934,3934,3934,0.423,0.423,0.423
36643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3935,3935,3935,0.424,0.424,0.424
36792,,,,,,,,,,,,,94,94,94,0.8031738870533265,0.8031738870533265,0.8031738870533265,,,,,,,,,,,,,,,,,,
36793,,,,,,,,,,,,,,,,,,,810,810,810,0.516,0.516,0.516,,,,,,,,,,,,
36808,,,,,,,81,81,81,0.10128426630489712,0.10128426630489712,0.10128426630489712,,,,,,,,,,,,,,,,,,,,,,,,
36823,,,,,,,,,,,,,,,,,,,811,811,811,0.5115,0.5115,0.5115,,,,,,,,,,,,
36858,,,,,,,,,,,,,,,,,,,812,812,812,0.5,0.5,0.5,,,,,,,,,,,,
36869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3942,3942,3942,0.43,0.43,0.43
36874,75,75,75,0.10325757895061939,0.10325757895061939,0.10325757895061939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36888,,,,,,,,,,,,,,,,,,,813,813,813,0.4915,0.4915,0.4915,,,,,,,,,,,,
36897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3947,3947,3947,0.464,0.464,0.464
36903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3948,3948,3948,0.456,0.456,0.456
36914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3950,3950,0.455,0.455,0.455
36918,,,,,,,,,,,,,,,,,,,814,814,814,0.4815,0.4815,0.4815,,,,,,,,,,,,
36931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3953,3953,3953,0.464,0.464,0.464
36942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3955,3955,3955,0.474,0.474,0.474
36949,,,,,,,,,,,,,,,,,,,815,815,815,0.494,0.494,0.494,,,,,,,,,,,,
36953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3957,3957,3957,0.438,0.438,0.438
36964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3959,3959,3959,0.419,0.419,0.419
36979,,,,,,,,,,,,,,,,,,,816,816,816,0.48,0.48,0.48,,,,,,,,,,,,
37004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3966,3966,3966,0.406,0.406,0.406
37009,,,,,,,,,,,,,,,,,,,817,817,817,0.468,0.468,0.468,,,,,,,,,,,,
37040,,,,,,,,,,,,,,,,,,,818,818,818,0.458,0.458,0.458,,,,,,,,,,,,
37044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973,3973,3973,0.361,0.361,0.361
37066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977,3977,3977,0.381,0.381,0.381
37070,,,,,,,,,,,,,,,,,,,819,819,819,0.4445,0.4445,0.4445,,,,,,,,,,,,
37077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3979,3979,3979,0.355,0.355,0.355
37100,,,,,,,,,,,,,,,,,,,820,820,820,0.446,0.446,0.446,,,,,,,3983,3983,3983,0.373,0.373,0.373
37131,,,,,,,,,,,,,,,,,,,821,821,821,0.4595,0.4595,0.4595,,,,,,,,,,,,
37183,,,,,,,,,,,,,95,95,95,0.8048405276748665,0.8048405276748665,0.8048405276748665,,,,,,,,,,,,,,,,,,
37187,,,,,,,82,82,82,0.10888957433405726,0.10888957433405726,0.10888957433405726,,,,,,,,,,,,,,,,,,,,,,,,
37248,76,76,76,0.096051334,0.096051334,0.096051334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37335,,,,,,,,,,,,,,,,,,,822,822,822,0.468,0.468,0.468,,,,,,,,,,,,
37338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3991,3991,3991,0.385,0.385,0.385
37366,,,,,,,,,,,,,,,,,,,823,823,823,0.4685,0.4685,0.4685,,,,,,,3996,3996,3996,0.423,0.423,0.423
37389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4000,0.397,0.397,0.397
37396,,,,,,,,,,,,,,,,,,,824,824,824,0.452,0.452,0.452,,,,,,,,,,,,
37400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4002,4002,4002,0.38,0.38,0.38
37405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4003,4003,4003,0.38,0.38,0.38
37411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004,4004,4004,0.397,0.397,0.397
37417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005,4005,4005,0.379,0.379,0.379
37426,,,,,,,,,,,,,,,,,,,825,825,825,0.4585,0.4585,0.4585,,,,,,,,,,,,
37457,,,,,,,,,,,,,,,,,,,826,826,826,0.466,0.466,0.466,,,,,,,,,,,,
37473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015,4015,4015,0.41,0.41,0.41
37487,,,,,,,,,,,,,,,,,,,827,827,827,0.465,0.465,0.465,,,,,,,,,,,,
37518,,,,,,,,,,,,,,,,,,,828,828,828,0.4725,0.4725,0.4725,,,,,,,,,,,,
37524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024,4024,4024,0.404,0.404,0.404
37535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4026,4026,4026,0.423,0.423,0.423
37541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4027,4027,4027,0.413,0.413,0.413
37548,,,,,,,,,,,,,,,,,,,829,829,829,0.468,0.468,0.468,,,,,,,,,,,,
37552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4029,4029,4029,0.403,0.403,0.403
37567,,,,,,,83,83,83,0.10164127896439015,0.10164127896439015,0.10164127896439015,,,,,,,,,,,,,,,,,,,,,,,,
37574,,,,,,,,,,,,,96,96,96,0.8029174115561178,0.8029174115561178,0.8029174115561178,,,,,,,,,,,,,,,,,,
37578,,,,,,,,,,,,,,,,,,,830,830,830,0.4685,0.4685,0.4685,,,,,,,,,,,,
37591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4036,4036,4036,0.375,0.375,0.375
37596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4037,4037,4037,0.364,0.364,0.364
37609,,,,,,,,,,,,,,,,,,,831,831,831,0.4665,0.4665,0.4665,,,,,,,,,,,,
37623,77,77,77,0.091526829,0.091526829,0.091526829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37639,,,,,,,,,,,,,,,,,,,832,832,832,0.472,0.472,0.472,,,,,,,,,,,,
37669,,,,,,,,,,,,,,,,,,,833,833,833,0.4725,0.4725,0.4725,,,,,,,,,,,,
37778,,,,,,,,,,,,,,,,,,,,,,,,,47,47,47,0.331,0.331,0.331,,,,,,
37802,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,0.362,0.362,0.362,,,,,,
37812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4041,4041,4041,0.399,0.399,0.399
37817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4042,4042,4042,0.389,0.389,0.389
37840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4046,4046,4046,0.389,0.389,0.389
37889,,,,,,,,,,,,,,,,,,,834,834,834,0.472,0.472,0.472,,,,,,,,,,,,
37912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4059,4059,4059,0.397,0.397,0.397
37920,,,,,,,,,,,,,,,,,,,835,835,835,0.457,0.457,0.457,,,,,,,,,,,,
37946,,,,,,,84,84,84,0.10386515383090077,0.10386515383090077,0.10386515383090077,,,,,,,,,,,,,,,,,,,,,,,,
37950,,,,,,,,,,,,,,,,,,,836,836,836,0.4595,0.4595,0.4595,,,,,,,,,,,,
37952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4066,4066,4066,0.403,0.403,0.403
37957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067,4067,4067,0.403,0.403,0.403
37966,,,,,,,,,,,,,97,97,97,0.8193056484608164,0.8193056484608164,0.8193056484608164,,,,,,,,,,,,,,,,,,
37968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069,4069,4069,0.412,0.412,0.412
37980,,,,,,,,,,,,,,,,,,,837,837,837,0.4695,0.4695,0.4695,,,,,,,4071,4071,4071,0.421,0.421,0.421
37996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4074,4074,4074,0.429,0.429,0.429
37997,78,78,78,0.093030278,0.093030278,0.093030278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38011,,,,,,,,,,,,,,,,,,,838,838,838,0.47,0.47,0.47,,,,,,,,,,,,
38041,,,,,,,,,,,,,,,,,,,839,839,839,0.4685,0.4685,0.4685,,,,,,,4082,4082,4082,0.436,0.436,0.436
38047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4083,4083,4083,0.445,0.445,0.445
38052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4084,4084,4084,0.454,0.454,0.454
38071,,,,,,,,,,,,,,,,,,,840,840,840,0.457,0.457,0.457,,,,,,,,,,,,
38080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4089,4089,4089,0.435,0.435,0.435
38102,,,,,,,,,,,,,,,,,,,841,841,841,0.468,0.468,0.468,,,,,,,,,,,,
38132,,,,,,,,,,,,,,,,,,,842,842,842,0.4745,0.4745,0.4745,,,,,,,,,,,,
38162,,,,,,,,,,,,,,,,,,,843,843,843,0.475,0.475,0.475,,,,,,,,,,,,
38193,,,,,,,,,,,,,,,,,,,844,844,844,0.474,0.474,0.474,,,,,,,,,,,,
38223,,,,,,,,,,,,,,,,,,,845,845,845,0.4715,0.4715,0.4715,,,,,,,,,,,,
38292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4091,4091,4091,0.407,0.407,0.407
38297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092,4092,4092,0.406,0.406,0.406
38314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,4095,4095,0.377,0.377,0.377
38326,,,,,,,85,85,85,0.10177411775776919,0.10177411775776919,0.10177411775776919,,,,,,,,,,,,,,,,,,,,,,,,
38337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4099,4099,4099,0.359,0.359,0.359
38342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4100,4100,0.367,0.367,0.367
38348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4101,4101,4101,0.377,0.377,0.377
38357,,,,,,,,,,,,,98,98,98,0.8010712963152321,0.8010712963152321,0.8010712963152321,,,,,,,,,,,,,,,,,,
38364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4104,4104,4104,0.369,0.369,0.369
38371,79,79,79,0.099626669,0.099626669,0.099626669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4107,4107,4107,0.348,0.348,0.348
38390,,,,,,,,,,,,,,,,,,,846,846,846,0.465,0.465,0.465,,,,,,,,,,,,
38409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4112,4112,4112,0.362,0.362,0.362
38415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4113,4113,4113,0.363,0.363,0.363
38420,,,,,,,,,,,,,,,,,,,847,847,847,0.471,0.471,0.471,,,,,,,,,,,,
38451,,,,,,,,,,,,,,,,,,,848,848,848,0.476,0.476,0.476,,,,,,,,,,,,
38454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4120,4120,4120,0.42,0.42,0.42
38460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4121,4121,4121,0.417,0.417,0.417
38471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4123,4123,4123,0.416,0.416,0.416
38481,,,,,,,,,,,,,,,,,,,849,849,849,0.4935,0.4935,0.4935,,,,,,,,,,,,
38488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4126,4126,4126,0.419,0.419,0.419
38505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4129,4129,4129,0.41,0.41,0.41
38511,,,,,,,,,,,,,,,,,,,850,850,850,0.5075,0.5075,0.5075,,,,,,,,,,,,
38516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4131,4131,4131,0.419,0.419,0.419
38542,,,,,,,,,,,,,,,,,,,851,851,851,0.503,0.503,0.503,,,,,,,,,,,,
38544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4136,4136,4136,0.408,0.408,0.408
38561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4139,4139,4139,0.417,0.417,0.417
38572,,,,,,,,,,,,,,,,,,,852,852,852,0.513,0.513,0.513,,,,,,,,,,,,
38602,,,,,,,,,,,,,,,,,,,853,853,853,0.514,0.514,0.514,,,,,,,,,,,,
38633,,,,,,,,,,,,,,,,,,,854,854,854,0.5275,0.5275,0.5275,,,,,,,,,,,,
38705,,,,,,,86,86,86,0.11367454182655147,0.11367454182655147,0.11367454182655147,,,,,,,,,,,,,,,,,,,,,,,,
38745,80,80,80,0.1060318514163654,0.1060318514163654,0.1060318514163654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38748,,,,,,,,,,,,,99,99,99,0.813467715,0.813467715,0.813467715,,,,,,,,,,,,,,,,,,
38805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4149,4149,4149,0.35,0.35,0.35
38817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4151,4151,4151,0.35,0.35,0.35
38837,,,,,,,,,,,,,,,,,,,855,855,855,0.535,0.535,0.535,,,,,,,,,,,,
38845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4156,4156,4156,0.374,0.374,0.374
38850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4157,4157,4157,0.372,0.372,0.372
38868,,,,,,,,,,,,,,,,,,,856,856,856,0.536,0.536,0.536,,,,,,,,,,,,
38895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4165,4165,4165,0.37,0.37,0.37
38898,,,,,,,,,,,,,,,,,,,857,857,857,0.5435,0.5435,0.5435,,,,,,,,,,,,
38928,,,,,,,,,,,,,,,,,,,858,858,858,0.5315,0.5315,0.5315,,,,,,,,,,,,
38959,,,,,,,,,,,,,,,,,,,859,859,859,0.5395,0.5395,0.5395,,,,,,,,,,,,
38963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4177,4177,4177,0.378,0.378,0.378
38968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4178,4178,4178,0.398,0.398,0.398
38974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4179,4179,4179,0.378,0.378,0.378
38989,,,,,,,,,,,,,,,,,,,860,860,860,0.5585,0.5585,0.5585,,,,,,,,,,,,
39010,,,,,,,,,,,,,,,,,,,,,,,,,49,49,49,0.371,0.371,0.371,,,,,,
39019,,,,,,,,,,,,,,,,,,,861,861,861,0.546,0.546,0.546,,,,,,,,,,,,
39030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4189,4189,4189,0.338,0.338,0.338
39034,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,0.293,0.293,0.293,,,,,,
39036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4190,4190,4190,0.338,0.338,0.338
39050,,,,,,,,,,,,,,,,,,,862,862,862,0.5425,0.5425,0.5425,,,,,,,,,,,,
39080,,,,,,,,,,,,,,,,,,,863,863,863,0.538,0.538,0.538,,,,,,,,,,,,
39085,,,,,,,87,87,87,0.1143097303460183,0.1143097303460183,0.1143097303460183,,,,,,,,,,,,,,,,,,,,,,,,
39110,,,,,,,,,,,,,,,,,,,864,864,864,0.555,0.555,0.555,,,,,,,,,,,,
39119,81,81,81,0.1092960272463342,0.1092960272463342,0.1092960272463342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39140,,,,,,,,,,,,,100,100,100,0.8063646879375066,0.8063646879375066,0.8063646879375066,,,,,,,,,,,,,,,,,,
39141,,,,,,,,,,,,,,,,,,,865,865,865,0.547,0.547,0.547,,,,,,,,,,,,
39171,,,,,,,,,,,,,,,,,,,866,866,866,0.561,0.561,0.561,,,,,,,,,,,,
39273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4198,4198,4198,0.308,0.308,0.308
39329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4208,4208,4208,0.383,0.383,0.383
39340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210,4210,4210,0.403,0.403,0.403
39352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4212,4212,4212,0.411,0.411,0.411
39363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214,4214,4214,0.391,0.391,0.391
39385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4218,4218,4218,0.391,0.391,0.391
39399,,,,,,,,,,,,,,,,,,,867,867,867,0.5545,0.5545,0.5545,,,,,,,,,,,,
39424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225,4225,4225,0.369,0.369,0.369
39429,,,,,,,,,,,,,,,,,,,868,868,868,0.5665,0.5665,0.5665,,,,,,,,,,,,
39430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4226,4226,4226,0.378,0.378,0.378
